CATEGORÍA,SUBCATEGORÍA,ESTÁ EN PRO???,TÍTULO / HIPERVÍNCULO,URL ANTIGUA,URL NUEVA,IDIOMA,AUTOR,TRADUCCIÓN,URL CONTENIDO  INGLÉS
SNIPPET,,,Modificar peso de bloques en contexto,https://www.ladrupalera.com/drupal/snippet/contextos/modificar-peso-de-bloques-en-contexto,https://www.ladrupalera.com/es/drupal/snippet/contextos/modificar-peso-de-bloques-en-contexto,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CONSULTORÍA,,,Los mejores libros y guías para aprender Drupal,https://www.ladrupalera.com/drupal/consultoria/tips/24-cosas-sobre-drupal-8-que-todo-cto-debe-saber-i,https://www.ladrupalera.com/es/drupal/consultoria/tips/24-cosas-sobre-drupal-8-que-todo-cto-debe-saber-i,,,,
CONSULTORÍA,,,7 razones por las que deberías usar Drupal 8,https://www.ladrupalera.com/drupal/consultoria/tips/los-mejores-libros-y-guias-para-aprender-drupal,https://www.ladrupalera.com/es/drupal/consultoria/tips/los-mejores-libros-y-guias-para-aprender-drupal,,,,
CONSULTORÍA,,,24 cosas sobre Drupal 8 que todo CTO debe saber (III),https://www.ladrupalera.com/drupal/consultoria/tips/7-razones-por-las-que-deberias-usar-drupal-8,https://www.ladrupalera.com/es/drupal/consultoria/tips/7-razones-por-las-que-deberias-usar-drupal-8,,,,
CONSULTORÍA,,,24 cosas sobre Drupal 8 que todo CTO debe saber (II),https://www.ladrupalera.com/drupal/consultoria/tips/24-cosas-sobre-drupal-8-que-todo-cto-debe-saber-iii,https://www.ladrupalera.com/es/drupal/consultoria/tips/24-cosas-sobre-drupal-8-que-todo-cto-debe-saber-iii,,,,
CONSULTORÍA,,,24 cosas sobre Drupal 8 que todo CTO debe saber (I),https://www.ladrupalera.com/drupal/consultoria/tips/24-cosas-sobre-drupal-8-que-todo-cto-debe-saber-ii,https://www.ladrupalera.com/es/drupal/consultoria/tips/24-cosas-sobre-drupal-8-que-todo-cto-debe-saber-ii,,,,
CONSULTORÍA,,,Cómo conseguir que tu blog Drupal sea todo un éxito,https://www.ladrupalera.com/drupal/consultoria/tips/como-conseguir-que-tu-blog-drupal-sea-todo-un-exito,https://www.ladrupalera.com/es/drupal/consultoria/tips/como-conseguir-que-tu-blog-drupal-sea-todo-un-exito,,,,
CONSULTORÍA,,,4 razones para enviar una newsletter desde tu portal Drupal,https://www.ladrupalera.com/drupal/consultoria/tips/4-razones-para-enviar-una-newsletter-desde-tu-portal-drupal,https://www.ladrupalera.com/es/drupal/consultoria/tips/4-razones-para-enviar-una-newsletter-desde-tu-portal-drupal,,,,
CONSULTORÍA,,,Todo lo que necesitas saber para iniciarte en Drupal,https://www.ladrupalera.com/drupal/consultoria/tips/todo-lo-que-necesitas-saber-para-iniciarte-en-drupal,https://www.ladrupalera.com/es/drupal/consultoria/tips/todo-lo-que-necesitas-saber-para-iniciarte-en-drupal,,,,
CONSULTORÍA,,,Herramientas Marketing Digital,https://www.ladrupalera.com/drupal/consultoria/seo/herramientas-marketing-digital,https://www.ladrupalera.com/es/drupal/consultoria/seo/herramientas-marketing-digital,,,,
CONSULTORÍA,,,Oferta de Empleo: Diseño de experiencia de usuario y de interfaz - UX / UI,https://www.ladrupalera.com/drupal/consultoria/ux-y-usabilidad/oferta-de-empleo-diseno-de-experiencia-de-usuario-y-de-interfaz-ux-ui,https://www.ladrupalera.com/es/drupal/consultoria/ux-y-usabilidad/oferta-de-empleo-diseno-de-experiencia-de-usuario-y-de-interfaz-ux-ui,,,,
CONSULTORÍA,,,Migrando de Drupal 6 a Drupal 7,https://www.ladrupalera.com/drupal/consultoria/gestion-de-proyecto/migrando-de-drupal-6-drupal-7,https://www.ladrupalera.com/es/drupal/consultoria/gestion-de-proyecto/migrando-de-drupal-6-drupal-7,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DESARROLLO,,,Multisite con Domain Access,https://www.ladrupalera.com/drupal/desarrollo/drupal7/multisite-con-domain-access,https://www.ladrupalera.com/es/drupal/desarrollo/drupal7/multisite-con-domain-access,,,,
DESARROLLO,,,"Grunt, automatizando el trabajo repetitivo",https://www.ladrupalera.com/drupal/desarrollo/javascript/grunt-automatizando-el-trabajo-repetitivo,https://www.ladrupalera.com/es/drupal/desarrollo/javascript/grunt-automatizando-el-trabajo-repetitivo,,,,
